Atletas,Jogos,Gols,Assistencias,Títulos
Rodrigo GK,12,0,0,1
Paquetá,9,0,0,1
Pelé,10,1,0,1
Vencato,11,0,0,1
Cowboy,12,3,2,1
Nandinho,6,0,4,1
Patrick,13,4,4,1
Renatin,5,2,0,1
JM,12,5,3,1
Artur Vinicius,8,4,2,1
Jow,9,4,2,1
Queiroz,10,2,1,1
Markin,10,14,6,1
Caio,9,10,4,1
Scheldon,1,0,0,1
Afonso,5,3,5,1
Presida,8,0,0,1
